Date,Open,corona,Stringency
31-01-2020,7382,2,0
01-02-2020,7382,2,0
02-02-2020,7382,2,11.11
03-02-2020,7286,2,11.11
04-02-2020,7326.299805,2,11.11
05-02-2020,7439.799805,2,11.11
06-02-2020,7482.5,2,11.11
07-02-2020,7504.799805,3,11.11
08-02-2020,7504.799805,3,11.11
09-02-2020,7504.799805,4,11.11
10-02-2020,7466.700195,4,11.11
11-02-2020,7446.899902,8,11.11
12-02-2020,7499.399902,8,11.11
13-02-2020,7534.399902,9,11.11
14-02-2020,7452,9,11.11
15-02-2020,7452,9,11.11
16-02-2020,7452,9,11.11
17-02-2020,7409.100098,9,11.11
18-02-2020,7433.299805,9,11.11
19-02-2020,7382,9,11.11
20-02-2020,7457,9,11.11
21-02-2020,7436.600098,9,11.11
22-02-2020,7436.600098,9,11.11
23-02-2020,7436.600098,9,11.11
24-02-2020,7403.899902,13,11.11
25-02-2020,7156.799805,13,11.11
26-02-2020,7017.899902,13,11.11
27-02-2020,7042.5,13,11.11
28-02-2020,6796.399902,16,11.11
29-02-2020,6796.399902,18,11.11
01-03-2020,6796.399902,23,11.11
02-03-2020,6580.600098,36,11.11
03-03-2020,6654.899902,40,11.11
04-03-2020,6718.200195,51,11.11
05-03-2020,6815.600098,85,11.11
06-03-2020,6705.399902,115,11.11
07-03-2020,6705.399902,163,11.11
08-03-2020,6705.399902,206,11.11
09-03-2020,6462.600098,273,11.11
10-03-2020,5965.799805,321,11.11
11-03-2020,5960.200195,373,11.11
12-03-2020,5876.5,456,11.11
13-03-2020,5237.5,590,11.11
14-03-2020,5237.5,707,11.11
15-03-2020,5237.5,1140,11.11
16-03-2020,5366.100098,1391,16.93
17-03-2020,5151.100098,1543,24.07
18-03-2020,5294.899902,1950,24.07
19-03-2020,5080.600098,2630,24.07
20-03-2020,5151.600098,3277,24.07
21-03-2020,5151.600098,3983,30.69
22-03-2020,5151.600098,5018,37.83
23-03-2020,5190.799805,5683,72.48
24-03-2020,4993.899902,6650,75.13
25-03-2020,5446,8077,75.13
26-03-2020,5688.200195,9529,82.27
27-03-2020,5815.700195,11658,82.27
28-03-2020,5815.700195,14543,82.27
29-03-2020,5815.700195,17089,82.27
30-03-2020,5510.299805,19522,82.27
31-03-2020,5563.700195,22141,82.27
01-04-2020,5672,25150,82.27
02-04-2020,5454.600098,29474,82.27
03-04-2020,5480.200195,33718,82.27
04-04-2020,5480.200195,38168,82.27
05-04-2020,5480.200195,41903,82.27
06-04-2020,5415.5,47806,82.27
07-04-2020,5582.399902,51608,82.27
08-04-2020,5704.5,55242,82.27
09-04-2020,5677.700195,60733,82.27
10-04-2020,5677.700195,65077,82.27
11-04-2020,5677.700195,70272,82.27
12-04-2020,5677.700195,78991,82.27
13-04-2020,5677.700195,84279,82.27
14-04-2020,5842.700195,88621,82.27
15-04-2020,5791.299805,93873,82.27
16-04-2020,5597.700195,98476,82.27
17-04-2020,5628.399902,103093,82.27
18-04-2020,5628.399902,108692,82.27
19-04-2020,5628.399902,114217,82.27
20-04-2020,5787,120067,82.27
21-04-2020,5812.799805,124743,82.27
22-04-2020,5641,129044,82.27
23-04-2020,5770.600098,133495,82.27
24-04-2020,5826.600098,138078,82.27
25-04-2020,5826.600098,143464,82.27
26-04-2020,5826.600098,148377,82.27
27-04-2020,5752.200195,152840,82.27
28-04-2020,5846.799805,157149,82.27
29-04-2020,5958.5,161145,82.27
30-04-2020,6115.299805,165221,82.27
01-05-2020,5901.200195,171253,82.27
