Date,Open,corona,Stringency
02-01-2020,3066.335938,27,0
03-01-2020,3089.021973,44,0
04-01-2020,3089.022,44,0
05-01-2020,3089.22,59,0
06-01-2020,3070.908936,59,0
07-01-2020,3085.488037,59,0
08-01-2020,3094.239014,59,0
09-01-2020,3082.639893,59,0
10-01-2020,3102.293945,59,0
11-01-2020,3102.294,59,0
12-01-2020,3102.294,59,0
13-01-2020,3091.49292,59,0
14-01-2020,3120.666992,59,0
15-01-2020,3103.169922,59,0
16-01-2020,3095.733887,59,0
17-01-2020,3081.464111,63,0
18-01-2020,3081.464,80,0
19-01-2020,3081.464,216,0
20-01-2020,3082.113037,235,7.94
21-01-2020,3085.790039,386,7.94
22-01-2020,3038.487061,526,19.05
23-01-2020,3037.951904,623,44.19
24-01-2020,3037.951904,882,44.19
25-01-2020,3037.951904,1323,44.19
26-01-2020,3037.951904,1988,66.42
27-01-2020,3037.951904,2775,66.42
28-01-2020,3037.951904,4528,66.42
29-01-2020,3037.951904,5994,66.42
30-01-2020,3037.951904,7734,66.42
31-01-2020,3037.951904,9714,66.42
01-02-2020,3037.951904,11809,66.42
02-02-2020,3037.951904,14399,66.42
03-02-2020,2716.697998,17211,61.12
04-02-2020,2685.269043,20448,61.12
05-02-2020,2792.371094,24320,61.12
06-02-2020,2826.889893,28047,61.12
07-02-2020,2858.929932,31207,61.12
08-02-2020,2858.929932,34625,61.12
09-02-2020,2858.929932,37232,61.12
10-02-2020,2860.499023,40206,57.95
11-02-2020,2894.540039,42696,57.95
12-02-2020,2895.555908,44724,57.95
13-02-2020,2927.144043,59865,57.95
14-02-2020,2899.865967,64021,57.95
15-02-2020,2899.865967,66559,57.95
16-02-2020,2899.865967,68566,57.95
17-02-2020,2924.990967,70618,57.95
18-02-2020,2981.409912,72508,57.95
19-02-2020,2979.521973,74258,57.95
20-02-2020,2981.879883,74652,57.95
21-02-2020,3022.246094,75543,57.95
22-02-2020,3022.246094,76369,57.95
23-02-2020,3022.246094,77016,57.95
24-02-2020,3027.893066,77234,57.95
25-02-2020,2982.070068,77749,63.51
26-02-2020,2987.928955,78159,63.51
27-02-2020,2992.48999,78598,63.51
28-02-2020,2924.641113,78927,63.51
29-02-2020,2924.641113,79355,63.51
01-03-2020,2924.641113,79929,63.51
02-03-2020,2899.310059,80134,63.51
03-03-2020,3006.888916,80261,63.51
04-03-2020,2981.805908,80380,63.51
05-03-2020,3036.155029,80497,63.51
06-03-2020,3039.939941,80667,63.51
07-03-2020,3039.939941,80768,63.51
08-03-2020,3039.939941,80814,63.51
09-03-2020,2987.180908,80859,63.51
10-03-2020,2918.935059,80879,63.51
11-03-2020,3001.761963,80908,63.51
12-03-2020,2936.016113,80932,59.54
13-03-2020,2804.231934,80954,59.54
14-03-2020,2804.231934,80973,59.54
15-03-2020,2804.231934,80995,59.54
16-03-2020,2897.301025,81020,56.37
17-03-2020,2796.283936,81063,56.37
18-03-2020,2792.322021,81086,56.37
19-03-2020,2719.406006,81130,56.37
20-03-2020,2727.019043,81229,56.37
21-03-2020,2727.019043,81281,56.37
22-03-2020,2727.019043,81346,56.37
23-03-2020,2677.590088,81484,56.37
24-03-2020,2703.019043,81553,60.34
25-03-2020,2775.302979,81631,60.34
26-03-2020,2761.895996,81733,63.11
27-03-2020,2792.983887,81827,63.11
28-03-2020,2792.983887,81946,55.17
29-03-2020,2792.983887,82059,55.17
30-03-2020,2739.718994,82157,55.17
31-03-2020,2767.306885,82241,55.17
01-04-2020,2743.541016,82295,55.17
02-04-2020,2720.228027,82395,55.17
03-04-2020,2773.575928,82465,52.53
04-04-2020,2773.575928,82527,52.53
05-04-2020,2773.575928,82575,52.53
06-04-2020,2773.575928,82642,52.53
07-04-2020,2806.968018,82698,52.53
08-04-2020,2805.916992,82784,44.59
09-04-2020,2825.839111,82870,44.59
10-04-2020,2827.187012,82925,44.59
11-04-2020,2827.187012,83004,44.59
12-04-2020,2827.187012,83097,44.59
13-04-2020,2784.5979,83209,44.59
14-04-2020,2794.801025,83303,44.59
15-04-2020,2826.662109,83352,44.59
16-04-2020,2798.429932,83402,44.59
17-04-2020,2835.558105,83754,44.59
18-04-2020,2835.558105,83785,44.59
19-04-2020,2835.558105,83803,44.59
20-04-2020,2840.408936,83817,44.59
21-04-2020,2842.237061,83849,44.59
22-04-2020,2814.065918,83864,44.59
23-04-2020,2850.51001,83876,44.59
24-04-2020,2834.938965,83884,44.59
25-04-2020,2834.938965,83899,44.59
26-04-2020,2834.938965,83909,56.5
27-04-2020,2812.241943,83912,56.5
28-04-2020,2819.990967,83938,56.5
29-04-2020,2801.383057,83940,56.5
30-04-2020,2832.384033,83944,56.5
