Date,Price,corona
30-01-2020,2.524,2
31-01-2020,2.517,2
01-02-2020,2.517,3
02-02-2020,2.517,3
03-02-2020,2.507,3
04-02-2020,2.542,3
05-02-2020,2.575,3
06-02-2020,2.593,3
07-02-2020,2.553,3
08-02-2020,2.553,3
09-02-2020,2.553,3
10-02-2020,2.55,3
11-02-2020,2.583,3
12-02-2020,2.6,3
13-02-2020,2.613,3
14-02-2020,2.599,3
15-02-2020,2.599,3
16-02-2020,2.599,3
17-02-2020,2.607,3
18-02-2020,2.62,3
19-02-2020,2.604,3
20-02-2020,2.606,3
21-02-2020,2.588,3
22-02-2020,2.608,3
23-02-2020,2.608,3
24-02-2020,2.608,3
25-02-2020,2.577,3
26-02-2020,2.578,3
27-02-2020,2.572,3
28-02-2020,2.572,3
29-02-2020,2.546,5
01-03-2020,2.546,6
02-03-2020,2.601,28
03-03-2020,2.579,29
04-03-2020,2.593,31
05-03-2020,2.582,34
06-03-2020,2.573,44
07-03-2020,2.573,50
08-03-2020,2.573,73
09-03-2020,2.524,75
10-03-2020,2.534,83
11-03-2020,2.512,90
12-03-2020,2.481,93
13-03-2020,2.474,125
14-03-2020,2.474,137
15-03-2020,2.474,165
16-03-2020,2.398,191
17-03-2020,2.316,231
18-03-2020,2.161,320
19-03-2020,2.2,439
20-03-2020,2.191,492
21-03-2020,2.191,562
22-03-2020,2.191,649
23-03-2020,2.119,724
24-03-2020,2.197,873
25-03-2020,2.234,979
26-03-2020,2.208,1071
27-03-2020,2.197,1251
28-03-2020,2.197,1397
29-03-2020,2.158,1965
30-03-2020,2.172,2301
31-03-2020,2.213,2902
01-04-2020,2.172,3374
02-04-2020,2.214,4067
03-04-2020,2.179,4421
04-04-2020,2.179,5194
05-04-2020,2.191,5734
06-04-2020,2.238,6412
07-04-2020,2.254,7447
08-04-2020,2.276,8356
09-04-2020,2.271,9152
10-04-2020,2.27,10363
11-04-2020,2.27,11438
12-04-2020,2.283,12380
13-04-2020,2.313,13387
14-04-2020,2.325,14378
15-04-2020,2.293,15712
16-04-2020,2.323,17265
17-04-2020,2.34,18600
18-04-2020,2.34,19984
19-04-2020,2.337,21393
20-04-2020,2.308,23077
21-04-2020,2.246,24506
22-04-2020,2.28,26496
23-04-2020,2.305,27892
24-04-2020,2.358,29435
25-04-2020,2.358,31332
26-04-2020,2.349,33050
27-04-2020,2.338,35043
28-04-2020,2.343,37336
29-04-2020,2.377,37336
30-04-2020,2.333,37336
