Date,Price,corona
30-01-2020,3683,2
31-01-2020,3723,2
01-02-2020,3676,3
02-02-2020,3676,3
03-02-2020,3626,3
04-02-2020,3584,3
05-02-2020,3680,3
06-02-2020,3630,3
07-02-2020,3617,3
08-02-2020,3617,3
09-02-2020,3617,3
10-02-2020,3541,3
11-02-2020,3580,3
12-02-2020,3662,3
13-02-2020,3675,3
14-02-2020,3707,3
15-02-2020,3707,3
16-02-2020,3707,3
17-02-2020,3736,3
18-02-2020,3698,3
19-02-2020,3813,3
20-02-2020,3904,3
21-02-2020,3859,3
22-02-2020,3859,3
23-02-2020,3859,3
24-02-2020,3662,3
25-02-2020,3644,3
26-02-2020,3546,3
27-02-2020,3395,3
28-02-2020,3263,3
29-02-2020,3263,5
01-03-2020,3263,6
02-03-2020,3431,28
03-03-2020,3457,29
04-03-2020,3507,31
05-03-2020,3431,34
06-03-2020,3159,44
07-03-2020,3159,50
08-03-2020,3159,73
09-03-2020,2458,75
10-03-2020,2510,83
11-03-2020,2483,90
12-03-2020,2328,93
13-03-2020,2396,125
14-03-2020,2396,137
15-03-2020,2396,165
16-03-2020,2161,191
17-03-2020,2095,231
18-03-2020,1619,320
19-03-2020,1867,439
20-03-2020,1938,492
21-03-2020,1938,562
22-03-2020,1938,649
23-03-2020,1814,724
24-03-2020,1873,873
25-03-2020,1959,979
26-03-2020,1787,1071
27-03-2020,1699,1251
28-03-2020,1699,1397
29-03-2020,1699,1965
30-03-2020,1616,2301
31-03-2020,1680,2902
01-04-2020,1621,3374
02-04-2020,2048,4067
03-04-2020,2048,4421
04-04-2020,2048,5194
05-04-2020,2048,5734
06-04-2020,2064,6412
07-04-2020,1894,7447
08-04-2020,2080,8356
09-04-2020,2080,9152
10-04-2020,2080,10363
11-04-2020,2080,11438
12-04-2020,1780,12380
13-04-2020,1780,13387
14-04-2020,1529,14378
15-04-2020,1561,15712
16-04-2020,1417,17265
17-04-2020,1417,18600
18-04-2020,1417,19984
19-04-2020,1417,21393
20-04-2020,995,23077
21-04-2020,1324,24506
22-04-2020,937,26496
23-04-2020,1289,27892
24-04-2020,1350,29435
25-04-2020,1350,31332
26-04-2020,1350,33050
27-04-2020,1066,35043
28-04-2020,1005,37336
29-04-2020,1183,37336
30-04-2020,1315,37336
