Date,Open,corona,Stringency
21-02-2020,24773.15,3,27.38
22-02-2020,24773.15,17,35.32
23-02-2020,24773.15,79,64.44
24-02-2020,23427.19,132,64.44
25-02-2020,23090.44,229,64.44
26-02-2020,23422.54,322,64.44
27-02-2020,22799.37,400,64.44
28-02-2020,21984.21,650,64.44
29-02-2020,21984.21,888,64.44
01-03-2020,21984.21,1128,64.44
02-03-2020,21655.09,1689,64.44
03-03-2020,21748.2,2036,64.44
04-03-2020,21946.03,2502,70.78
05-03-2020,21554.88,3089,70.78
06-03-2020,20799.89,3858,70.78
07-03-2020,20799.89,4636,70.78
08-03-2020,20799.89,5883,70.78
09-03-2020,18475.91,7375,67.61
10-03-2020,17870.18,9172,83.46
11-03-2020,17928.64,10149,87.43
12-03-2020,14894.44,12462,87.43
13-03-2020,15954.29,15113,87.43
14-03-2020,15954.29,17660,87.43
15-03-2020,15954.29,21157,87.43
16-03-2020,14980.34,23980,87.43
17-03-2020,15314.77,27980,87.43
18-03-2020,15120.48,31506,87.43
19-03-2020,15466.97,35713,87.43
20-03-2020,15731.85,41035,93.25
21-03-2020,15731.85,47021,93.25
22-03-2020,15731.85,53578,93.25
23-03-2020,15559.8,59138,93.25
24-03-2020,16948.6,63927,93.25
25-03-2020,17243.68,69176,93.25
26-03-2020,17369.38,74386,93.25
27-03-2020,16822.59,80539,93.25
28-03-2020,16822.59,86498,93.25
29-03-2020,16822.59,92472,93.25
30-03-2020,16872.41,97689,93.25
31-03-2020,17050.94,101739,93.25
01-04-2020,16544.97,105792,93.25
02-04-2020,16834.03,110574,93.25
03-04-2020,16384.35,115242,93.25
04-04-2020,16384.35,119827,93.25
05-04-2020,16384.35,124632,93.25
06-04-2020,17039.31,128948,93.25
07-04-2020,17411.72,132547,93.25
08-04-2020,17380.82,135586,93.25
09-04-2020,17621.62,139422,93.25
10-04-2020,17621.62,143626,90.61
11-04-2020,17621.62,147577,90.61
12-04-2020,17621.62,152271,94.58
13-04-2020,17621.62,156363,94.58
14-04-2020,17558.43,159516,94.58
15-04-2020,16719.07,162488,94.58
16-04-2020,16768.14,165155,94.58
17-04-2020,17055.47,168941,94.58
18-04-2020,17055.47,172434,94.58
19-04-2020,17055.47,175925,94.58
20-04-2020,17064.14,178972,94.58
21-04-2020,16450.85,181228,94.58
22-04-2020,16765.28,183957,94.58
23-04-2020,17011.11,187327,94.58
24-04-2020,16858.89,189973,94.58
25-04-2020,16858.89,192994,94.58
26-04-2020,16858.89,195351,94.58
27-04-2020,17380.21,197675,94.58
28-04-2020,17677.15,199414,94.58
29-04-2020,18067.29,201505,94.58
30-04-2020,17690.49,203591,94.58
