Date,Price,corona
21-01-2020,1.895,1
22-01-2020,1.905,1
23-01-2020,1.926,1
24-01-2020,1.893,1
25-01-2020,1.893,2
26-01-2020,1.893,2
27-01-2020,1.902,5
28-01-2020,1.934,5
29-01-2020,1.877,5
30-01-2020,1.829,5
31-01-2020,1.841,6
01-02-2020,1.841,7
02-02-2020,1.841,8
03-02-2020,1.819,11
04-02-2020,1.872,11
05-02-2020,1.861,11
06-02-2020,1.862,12
07-02-2020,1.858,12
08-02-2020,1.858,12
09-02-2020,1.858,12
10-02-2020,1.766,12
11-02-2020,1.788,13
12-02-2020,1.844,13
13-02-2020,1.826,14
14-02-2020,1.837,15
15-02-2020,1.837,15
16-02-2020,1.902,15
17-02-2020,1.93,15
18-02-2020,1.981,15
19-02-2020,1.955,15
20-02-2020,1.92,15
21-02-2020,1.905,16
22-02-2020,1.905,35
23-02-2020,1.905,35
24-02-2020,1.827,35
25-02-2020,1.847,53
26-02-2020,1.821,53
27-02-2020,1.752,59
28-02-2020,1.684,60
29-02-2020,1.684,66
01-03-2020,1.684,69
02-03-2020,1.756,89
03-03-2020,1.8,103
04-03-2020,1.827,125
05-03-2020,1.772,159
06-03-2020,1.708,233
07-03-2020,1.708,338
08-03-2020,1.708,433
09-03-2020,1.778,554
10-03-2020,1.936,754
11-03-2020,1.878,1025
12-03-2020,1.841,1312
13-03-2020,1.869,1663
14-03-2020,1.869,2174
15-03-2020,1.869,2951
16-03-2020,1.815,3774
17-03-2020,1.729,4661
18-03-2020,1.604,6427
19-03-2020,1.654,9415
20-03-2020,1.604,14250
21-03-2020,1.604,19624
22-03-2020,1.604,26747
23-03-2020,1.602,35206
24-03-2020,1.653,46442
25-03-2020,1.659,55231
26-03-2020,1.637,69194
27-03-2020,1.634,85991
28-03-2020,1.634,104686
29-03-2020,1.634,124665
30-03-2020,1.69,143025
31-03-2020,1.64,164620
01-04-2020,1.587,189618
02-04-2020,1.552,216721
03-04-2020,1.621,245540
04-04-2020,1.621,277965
05-04-2020,1.621,312237
06-04-2020,1.731,337635
07-04-2020,1.852,368196
08-04-2020,1.783,398809
09-04-2020,1.733,432132
10-04-2020,1.733,466033
11-04-2020,1.733,501560
12-04-2020,1.733,529951
13-04-2020,1.724,557571
14-04-2020,1.65,582594
15-04-2020,1.598,609516
16-04-2020,1.686,639664
17-04-2020,1.753,671331
18-04-2020,1.753,702164
19-04-2020,1.753,735086
20-04-2020,1.924,759687
21-04-2020,1.821,787752
22-04-2020,1.939,825041
23-04-2020,1.815,842629
24-04-2020,1.746,869172
25-04-2020,1.746,890524
26-04-2020,1.746,939053
27-04-2020,1.819,965910
28-04-2020,1.794,988451
29-04-2020,1.869,1012583
30-04-2020,1.949,1039909
