Date,Open,corona,Strigency
30-01-2020,41380.14,2,5.42
31-01-2020,41146.56,2,5.42
01-02-2020,40753.18,3,5.42
02-02-2020,40753.18,3,5.42
03-02-2020,39701.02,3,5.42
04-02-2020,40178.74,3,5.42
05-02-2020,40921.71,3,5.42
06-02-2020,41209.13,3,5.42
07-02-2020,41394.41,3,5.42
08-02-2020,41394.41,3,5.42
09-02-2020,41394.41,3,5.42
10-02-2020,41166.72,3,5.42
11-02-2020,41183.39,3,5.42
12-02-2020,41330.85,3,5.42
13-02-2020,41707.21,3,5.42
14-02-2020,41510.19,3,5.42
15-02-2020,41510.19,3,5.42
16-02-2020,41510.19,3,5.42
17-02-2020,41324.04,3,5.42
18-02-2020,41042.46,3,5.42
19-02-2020,41121.51,3,5.42
20-02-2020,41334.96,3,5.42
21-02-2020,41334.96,3,5.42
22-02-2020,41334.96,3,5.42
23-02-2020,41334.96,3,5.42
24-02-2020,41037.01,3,5.42
25-02-2020,40497.72,3,5.42
26-02-2020,40194.89,3,5.42
27-02-2020,39947.8,3,5.42
28-02-2020,39087.47,3,5.42
29-02-2020,39087.47,5,5.42
01-03-2020,39087.47,6,5.42
02-03-2020,38910.95,28,5.42
03-03-2020,38480.89,29,16.54
04-03-2020,38715.72,31,21.83
05-03-2020,38604.25,34,28.97
06-03-2020,37613.96,44,28.97
07-03-2020,37613.96,50,28.97
08-03-2020,37613.96,73,28.97
09-03-2020,36950.2,75,28.97
11-03-2020,35468.9,83,28.97
12-03-2020,34472.5,90,28.97
13-03-2020,31214.13,93,28.97
14-03-2020,31214.13,125,28.97
15-03-2020,31214.13,137,28.97
16-03-2020,33103.24,165,34.79
17-03-2020,31611.57,191,34.79
18-03-2020,30968.84,231,46.16
19-03-2020,27773.36,320,56.08
20-03-2020,28460.82,439,64.02
21-03-2020,28460.82,492,64.02
22-03-2020,28460.82,562,100
23-03-2020,27608.8,649,81.22
24-03-2020,27056.23,724,81.22
25-03-2020,26499.81,873,97.35
26-03-2020,29073.71,979,97.35
27-03-2020,30747.81,1071,97.35
28-03-2020,30747.81,1251,97.35
29-03-2020,30747.81,1397,97.35
30-03-2020,29226.55,1965,97.35
31-03-2020,29294.94,2301,97.35
01-04-2020,29505.33,2902,97.35
02-04-2020,29505.33,3374,97.35
03-04-2020,28623.53,4067,97.35
04-04-2020,28623.53,4421,97.35
05-04-2020,28623.53,5194,97.35
06-04-2020,28623.53,5734,97.35
07-04-2020,28898.36,6412,97.35
08-04-2020,29701.92,7447,97.35
09-04-2020,30571.19,8356,97.35
10-04-2020,30571.19,9152,97.35
11-04-2020,30571.19,10363,97.35
12-04-2020,30571.19,11438,97.35
13-04-2020,31195.72,12380,97.35
15-04-2020,31277.11,13387,97.35
16-04-2020,30095.51,14378,97.35
17-04-2020,31656.68,15712,97.35
18-04-2020,31656.68,17265,97.35
19-04-2020,31656.68,18600,97.35
20-04-2020,32056.19,19984,97.35
21-04-2020,30836.19,21393,97.35
22-04-2020,30856.14,23077,97.35
23-04-2020,31646.45,24506,97.35
24-04-2020,31426.62,26496,97.35
25-04-2020,31426.62,27892,97.35
26-04-2020,31426.62,29435,100
27-04-2020,31659.04,31332,100
28-04-2020,32101.91,33050,100
29-04-2020,32311.04,35043,100
30-04-2020,33381.19,37336,100
