Date,Price,corona
30-01-2020,46914,2
31-01-2020,46989,2
01-02-2020,47160,3
02-02-2020,47160,3
03-02-2020,45890,3
04-02-2020,45534,3
05-02-2020,45735,3
06-02-2020,46220,3
07-02-2020,46106,3
08-02-2020,46106,3
09-02-2020,46106,3
10-02-2020,46229,3
11-02-2020,45664,3
12-02-2020,45500,3
13-02-2020,45799,3
14-02-2020,46227,3
15-02-2020,46227,3
16-02-2020,46227,3
17-02-2020,46123,3
18-02-2020,47263,3
19-02-2020,47570,3
20-02-2020,47898,3
21-02-2020,48304,3
22-02-2020,48304,3
23-02-2020,48304,3
24-02-2020,49405,3
25-02-2020,47567,3
26-02-2020,46576,3
27-02-2020,46180,3
28-02-2020,43979,3
29-02-2020,43979,5
01-03-2020,43979,6
02-03-2020,44561,28
03-03-2020,45290,29
04-03-2020,46146,31
05-03-2020,45894,34
06-03-2020,46969,44
07-03-2020,46969,50
08-03-2020,46969,73
09-03-2020,46711,75
10-03-2020,46122,83
11-03-2020,45826,90
12-03-2020,44139,93
13-03-2020,40487,125
14-03-2020,40487,137
15-03-2020,40487,165
16-03-2020,36207,191
17-03-2020,35453,231
18-03-2020,33907,320
19-03-2020,35102,439
20-03-2020,35843,492
21-03-2020,35843,562
22-03-2020,35843,649
23-03-2020,37912,724
24-03-2020,40524,873
25-03-2020,41706,979
26-03-2020,41322,1071
27-03-2020,40894,1251
28-03-2020,40894,1397
29-03-2020,40894,1965
30-03-2020,39798,2301
31-03-2020,39523,2902
01-04-2020,39872,3374
02-04-2020,39872,4067
03-04-2020,41223,4421
04-04-2020,41223,5194
05-04-2020,41223,5734
06-04-2020,41223,6412
07-04-2020,43494,7447
08-04-2020,43139,8356
09-04-2020,43502,9152
10-04-2020,43502,10363
11-04-2020,43502,11438
12-04-2020,43502,12380
13-04-2020,43756,13387
14-04-2020,43756,14378
15-04-2020,44031,15712
16-04-2020,44255,17265
17-04-2020,42667,18600
18-04-2020,42667,19984
19-04-2020,42667,21393
20-04-2020,42737,23077
21-04-2020,41748,24506
22-04-2020,41686,26496
23-04-2020,41806,27892
24-04-2020,42051,29435
25-04-2020,42051,31332
26-04-2020,42051,33050
27-04-2020,41957,35043
28-04-2020,41712,37336
29-04-2020,41775,37336
30-04-2020,40989,37336
