Date,India,Italy,UK,US,China
30-01-2020,5.42,0,0,0,66.42
31-01-2020,5.42,0,0,0,66.42
01-02-2020,5.42,0,0,0,66.42
02-02-2020,5.42,0,11.11,5.56,66.42
03-02-2020,5.42,0,11.11,5.56,61.12
04-02-2020,5.42,0,11.11,5.56,61.12
05-02-2020,5.42,0,11.11,5.56,61.12
06-02-2020,5.42,0,11.11,5.56,61.12
07-02-2020,5.42,0,11.11,5.56,61.12
08-02-2020,5.42,0,11.11,5.56,61.12
09-02-2020,5.42,0,11.11,5.56,61.12
10-02-2020,5.42,0,11.11,5.56,57.95
11-02-2020,5.42,0,11.11,5.56,57.95
12-02-2020,5.42,0,11.11,5.56,57.95
13-02-2020,5.42,0,11.11,5.56,57.95
14-02-2020,5.42,0,11.11,5.56,57.95
15-02-2020,5.42,0,11.11,5.56,57.95
16-02-2020,5.42,0,11.11,5.56,57.95
17-02-2020,5.42,0,11.11,5.56,57.95
18-02-2020,5.42,0,11.11,5.56,57.95
19-02-2020,5.42,0,11.11,5.56,57.95
20-02-2020,5.42,0,11.11,5.56,57.95
21-02-2020,5.42,27.38,11.11,5.56,57.95
22-02-2020,5.42,35.32,11.11,5.56,57.95
23-02-2020,5.42,64.44,11.11,5.56,57.95
24-02-2020,5.42,64.44,11.11,5.56,57.95
25-02-2020,5.42,64.44,11.11,5.56,63.51
26-02-2020,5.42,64.44,11.11,5.56,63.51
27-02-2020,5.42,64.44,11.11,5.56,63.51
28-02-2020,5.42,64.44,11.11,5.56,63.51
29-02-2020,5.42,64.44,11.11,5.56,63.51
01-03-2020,5.42,64.44,11.11,9.53,63.51
02-03-2020,5.42,64.44,11.11,12.3,63.51
03-03-2020,16.54,64.44,11.11,12.3,63.51
04-03-2020,21.83,70.78,11.11,12.3,63.51
05-03-2020,28.97,70.78,11.11,20.24,63.51
06-03-2020,28.97,70.78,11.11,20.24,63.51
07-03-2020,28.97,70.78,11.11,20.24,63.51
08-03-2020,28.97,70.78,11.11,20.24,63.51
09-03-2020,28.97,67.61,11.11,20.24,63.51
11-03-2020,28.97,83.46,11.11,20.24,63.51
12-03-2020,28.97,87.43,11.11,22.23,63.51
13-03-2020,28.97,87.43,11.11,28.18,59.54
14-03-2020,28.97,87.43,11.11,28.18,59.54
15-03-2020,28.97,87.43,11.11,35.32,59.54
16-03-2020,34.79,87.43,11.11,40.62,59.54
17-03-2020,34.79,87.43,16.93,51.73,56.37
18-03-2020,46.16,87.43,24.07,55.7,56.37
19-03-2020,56.08,87.43,24.07,55.7,56.37
20-03-2020,64.02,87.43,24.07,64.44,56.37
21-03-2020,64.02,93.25,24.07,64.44,56.37
22-03-2020,100,93.25,30.69,64.44,56.37
23-03-2020,81.22,93.25,37.83,64.44,56.37
24-03-2020,81.22,93.25,72.48,64.44,56.37
25-03-2020,97.35,93.25,75.13,64.44,60.34
26-03-2020,97.35,93.25,75.13,64.44,60.34
27-03-2020,97.35,93.25,82.27,64.44,63.11
28-03-2020,97.35,93.25,82.27,64.44,63.11
29-03-2020,97.35,93.25,82.27,64.44,55.17
30-03-2020,97.35,93.25,82.27,64.44,55.17
31-03-2020,97.35,93.25,82.27,64.44,55.17
01-04-2020,97.35,93.25,82.27,64.44,55.17
02-04-2020,97.35,93.25,82.27,64.44,55.17
03-04-2020,97.35,93.25,82.27,64.44,55.17
04-04-2020,97.35,93.25,82.27,64.44,52.53
05-04-2020,97.35,93.25,82.27,64.44,52.53
06-04-2020,97.35,93.25,82.27,64.44,52.53
07-04-2020,97.35,93.25,82.27,64.44,52.53
08-04-2020,97.35,93.25,82.27,64.44,52.53
09-04-2020,97.35,93.25,82.27,67.61,44.59
10-04-2020,97.35,93.25,82.27,67.61,44.59
11-04-2020,97.35,90.61,82.27,67.61,44.59
12-04-2020,97.35,90.61,82.27,67.61,44.59
13-04-2020,97.35,94.58,82.27,67.61,44.59
15-04-2020,97.35,94.58,82.27,67.61,44.59
16-04-2020,97.35,94.58,82.27,67.61,44.59
17-04-2020,97.35,94.58,82.27,67.61,44.59
18-04-2020,97.35,94.58,82.27,67.61,44.59
19-04-2020,97.35,94.58,82.27,67.61,44.59
20-04-2020,97.35,94.58,82.27,67.61,44.59
21-04-2020,97.35,94.58,82.27,67.61,44.59
22-04-2020,97.35,94.58,82.27,67.61,44.59
23-04-2020,97.35,94.58,82.27,64.44,44.59
24-04-2020,97.35,94.58,82.27,64.44,44.59
25-04-2020,97.35,94.58,82.27,64.44,44.59
26-04-2020,100,94.58,82.27,64.44,44.59
27-04-2020,100,94.58,82.27,64.44,44.59
28-04-2020,100,94.58,82.27,41.42,56.5
29-04-2020,100,94.58,82.27,41.42,56.5
30-04-2020,100,94.58,82.27,41.42,56.5
