Date,Price, corona
30-01-2020,174.3,2
31-01-2020,175.2,2
01-02-2020,177,3
02-02-2020,177,3
03-02-2020,170.35,3
04-02-2020,171.45,3
05-02-2020,173.7,3
06-02-2020,172.2,3
07-02-2020,169.85,3
08-02-2020,169.85,3
09-02-2020,169.85,3
10-02-2020,167.75,3
11-02-2020,168.3,3
12-02-2020,168.05,3
13-02-2020,169.7,3
14-02-2020,167.8,3
15-02-2020,167.8,3
16-02-2020,167.8,3
17-02-2020,168.15,3
18-02-2020,167.65,3
19-02-2020,166.65,3
20-02-2020,165.1,3
21-02-2020,162.6,3
22-02-2020,162.6,3
23-02-2020,162.6,3
24-02-2020,151.75,3
25-02-2020,155,3
26-02-2020,155.8,3
27-02-2020,153.1,3
28-02-2020,151.85,3
29-02-2020,151.85,5
01-03-2020,151.85,6
02-03-2020,156.25,28
03-03-2020,154.15,29
04-03-2020,155.3,31
05-03-2020,157.75,34
06-03-2020,156.3,44
07-03-2020,156.3,50
08-03-2020,156.3,73
09-03-2020,156.35,75
10-03-2020,155.15,83
11-03-2020,155.5,90
12-03-2020,151.9,93
13-03-2020,151.8,125
14-03-2020,151.8,137
15-03-2020,151.8,165
16-03-2020,148.3,191
17-03-2020,147.05,231
18-03-2020,140.2,320
19-03-2020,142.9,439
20-03-2020,143.15,492
21-03-2020,143.15,562
22-03-2020,143.15,649
23-03-2020,143.75,724
24-03-2020,144.4,873
25-03-2020,140.35,979
26-03-2020,145.1,1071
27-03-2020,143.55,1251
28-03-2020,143.55,1397
29-03-2020,143.55,1965
30-03-2020,143.15,2301
31-03-2020,150.9,2902
01-04-2020,145.55,3374
02-04-2020,145.55,4067
03-04-2020,146.8,4421
04-04-2020,146.8,5194
05-04-2020,146.8,5734
06-04-2020,146.8,6412
07-04-2020,149.35,7447
08-04-2020,148.6,8356
09-04-2020,149.15,9152
10-04-2020,149.15,10363
11-04-2020,149.15,11438
12-04-2020,149.15,12380
13-04-2020,149.85,13387
14-04-2020,149.85,14378
15-04-2020,150.1,15712
16-04-2020,152.25,17265
17-04-2020,154.35,18600
18-04-2020,154.35,19984
19-04-2020,154.35,21393
20-04-2020,152.5,23077
21-04-2020,146.15,24506
22-04-2020,150.9,26496
23-04-2020,146.85,27892
24-04-2020,150.55,29435
25-04-2020,150.55,31332
26-04-2020,150.55,33050
27-04-2020,148.6,35043
28-04-2020,152.75,37336
29-04-2020,152.75,37336
30-04-2020,152.5,37336
